user_id,edad,sexo,estado,ciudad,nivel_educativo,ocupacion,ingreso_mensual_mxn,antiguedad_dias,es_hey_pro,nomina_domiciliada,canal_apertura,score_buro,dias_desde_ultimo_login,preferencia_canal,satisfaccion_1_10,recibe_remesas,usa_hey_shop,idioma_preferido,tiene_seguro,num_productos_activos,patron_uso_atipico,total_productos,tipos_producto,productos_activos,limite_credito_total,saldo_total,utilizacion_promedio,total_transacciones,monto_total_txn,monto_promedio_txn,cashback_total,txn_internacionales,categorias_unicas,canales_usados,tipo_producto_principal,categoria_mcc_principal,canal_principal_real,tipo_operacion_principal
USR-00001,21,M,Ciudad de México,CDMX - Benito Juárez,Preparatoria,Empleado,24500,1554,True,False,App,527,1,app_android,10.0,False,True,es_MX,False,2,False,2,"cuenta_debito, tarjeta_credito_hey",2,144000.0,169745.0,0.6166,56,119570.59,2135.189107142857,122.33,2,7,"app_android, app_huawei, app_ios, codi, oxxo, pos_fisico",cuenta_debito,servicios_digitales,app_android,compra
USR-00002,18,M,Jalisco,Puerto Vallarta,Preparatoria,Estudiante,19000,1410,True,False,App,714,3,app_android,8.0,False,True,es_MX,True,2,False,2,"cuenta_debito, tarjeta_credito_hey",2,22000.0,26835.14,0.2783,74,212722.66999999998,2874.6306756756753,147.08,1,7,"app_android, app_huawei, app_ios, cajero_banregio, codi, pos_fisico",cuenta_debito,servicios_digitales,app_android,compra
USR-00003,23,H,Chihuahua,Cuauhtémoc,Licenciatura,Estudiante,14000,1174,True,False,App,454,3,app_ios,8.0,False,True,es_MX,False,2,False,2,"cuenta_debito, tarjeta_credito_hey",2,5000.0,5000.15,0.3091,79,190801.09,2415.203670886076,165.43,4,8,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, codi, oxxo, pos_fisico",cuenta_debito,servicios_digitales,app_android,compra
USR-00004,32,SE,Nuevo León,Guadalupe,Posgrado,Empleado,61000,1168,False,False,Fan Shop,837,16,app_ios,10.0,True,False,es_MX,True,3,False,3,"cuenta_debito, inversion_hey, tarjeta_credito_hey",3,67000.0,357230.61,0.3538,66,580113.74,8789.602121212121,0.0,2,10,"app_android, app_huawei, app_ios, cajero_banregio, codi, pos_fisico",cuenta_debito,supermercado,app_android,compra
USR-00005,26,M,Ciudad de México,CDMX - Cuauhtémoc,Preparatoria,Empresario,27000,816,True,False,Fan Shop,533,1,app_ios,7.0,False,True,es_MX,True,2,False,2,"cuenta_debito, tarjeta_credito_hey",2,136000.0,129359.71,0.6326,93,190277.3,2045.9924731182793,162.99,1,8,"app_android, app_huawei, app_ios, cajero_banregio, codi, oxxo, pos_fisico",cuenta_debito,servicios_digitales,app_ios,compra
USR-00006,27,H,Otros,Zacatecas,Licenciatura,Empleado,28000,1215,True,False,App,502,1,app_android,9.0,False,False,es_MX,True,2,False,2,"cuenta_debito, tarjeta_credito_hey",2,73000.0,87387.45,0.2073,75,158470.7,2112.942666666667,150.7,9,8,"app_android, app_huawei, app_ios, cajero_banregio, codi, oxxo, pos_fisico",cuenta_debito,servicios_digitales,pos_fisico,compra
USR-00007,41,SE,Baja California,Mexicali,Secundaria,Empleado,32000,1345,True,True,App,615,8,app_android,9.0,False,True,es_MX,True,4,False,4,"credito_nomina, cuenta_debito, inversion_hey, tarjeta_credito_hey",4,108000.0,102187.43,0.24635,55,316994.77999999997,5763.541454545454,265.36,1,10,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, codi, oxxo, pos_fisico",cuenta_debito,transporte,app_android,compra
USR-00008,31,H,,,Licenciatura,Empleado,11500,1117,True,False,App,601,0,app_android,10.0,False,True,es_MX,True,2,False,2,"cuenta_debito, tarjeta_credito_hey",2,52000.0,73925.04,0.3859,89,211089.28,2371.7896629213483,190.93,7,8,"app_android, app_huawei, app_ios, cajero_banregio, pos_fisico",cuenta_debito,servicios_digitales,app_ios,compra
USR-00009,54,H,Nuevo León,San Nicolás de los Garza,Preparatoria,Empleado,19500,185,False,True,App,665,7,app_android,9.0,False,True,es_MX,False,2,False,3,"credito_nomina, cuenta_debito, seguro_vida",2,63000.0,100427.31,0.4828,36,250804.69,6966.796944444444,0.0,0,7,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, codi, pos_fisico",cuenta_debito,supermercado,app_android,compra
USR-00010,26,H,Coahuila,Monclova,Preparatoria,Independiente,23500,357,False,False,Fan Shop,609,2,app_ios,7.0,False,False,es_MX,False,1,False,1,cuenta_debito,1,0.0,16381.17,,62,184046.85,2968.497580645161,0.0,4,8,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, codi, oxxo, pos_fisico",cuenta_debito,servicios_digitales,app_ios,compra
USR-00011,42,M,Ciudad de México,CDMX - Cuauhtémoc,Preparatoria,Empleado,60000,1702,False,True,App,592,7,app_ios,10.0,False,False,es_MX,False,2,False,2,"cuenta_debito, inversion_hey",2,0.0,357109.73000000004,,48,766903.42,15977.154583333335,0.0,3,8,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, codi, pos_fisico",cuenta_debito,supermercado,app_android,compra
USR-00012,33,H,Guanajuato,Salamanca,Posgrado,Empleado,18000,664,True,False,Fan Shop,482,9,app_ios,5.0,False,True,es_MX,True,3,False,3,"credito_personal, cuenta_debito, tarjeta_credito_hey",3,57000.0,87954.76000000001,0.92845,33,71704.04000000001,2172.849696969697,88.04,1,9,"app_android, app_huawei, app_ios, cajero_banregio, codi, farmacia_ahorro, pos_fisico",cuenta_debito,servicios_digitales,app_android,compra
